system,opcode,depth_m,bait,location,notes,date.time,longitude_dd,latitude_dd,successful_count,maxn_by_size,periods_set,habitat_image,behaviour_success,approach_successful,second_checker
1,001,15,abalone,middle,extremely hectic swell - watch last ,11/03/2024 5:53,123.1734274,-34.08833307,,,Yes,Yes,,,
3,004,30,abalone,middle,"upside down, obscured",11/03/2024 6:48,123.1660767,-34.09453167,No,No,No,No,No,No,
5,007,26,abalone,middle,right loaded as left,11/03/2024 7:09,123.15523,-34.10822833,Yes,Yes,Yes,Yes,,,
7,010,17,abalone,middle,Labridae spp - unsure if BG or BSW,11/03/2024 22:58,123.17497,-34.12427667,Yes,Yes,Yes,Yes,,,
2,013,18,abalone,middle,,11/03/2024 23:15,123.20067,-34.11282833,Yes,Yes,Yes,Yes,,,
6,016,15,abalone,middle,hectic swell,11/04/2024 0:51,123.216175,-34.111585,Yes,Yes,Yes,Yes,,,
4,019,8,abalone,arid,,11/04/2024 3:51,123.1842783,-34.01494167,Yes,Yes,Yes,Yes,,,
5,022,12,abalone,arid,,11/04/2024 4:05,123.1675267,-34.01750667,Yes,Yes,Yes,Yes,,,
3,025,11,abalone,arid,come back and tidy - lots of ADs,11/04/2024 5:30,123.1532833,-34.01240167,Yes,,Yes,Yes,,,
4,028,20,abalone,arid,no WBG,11/04/2024 5:52,123.1445383,-34.00078,Yes,Yes,Yes,Yes,No,No,
5,031,24,abalone,arid,,11/04/2024 7:32,123.110335,-33.961195,Yes,Yes,Yes,Yes,,,
2,034,12,abalone,arid,light off - No BG,11/04/2024 7:43,123.1238483,-33.95039333,Yes,Yes,Yes,Yes,No,No,
3,037,19,abalone,twin,Hannah do as QAQC ,11/04/2024 23:18,122.9151857,-33.9800397,Yes,Yes,Yes,Yes,,,
4,040,27,abalone,twin,facing straight up,11/04/2024 23:29,122.9265272,-33.96510636,,,,,,,
5,043,12,abalone,twin,,11/05/2024 0:59,122.90575,-33.967425,Yes,Yes,Yes,Yes,,,
2,046,10,abalone,twin,emob made - about 60 degrees upwards - watch last,11/05/2024 1:09,122.9029117,-33.97692667,,,,,,,
3,049,9,abalone,twin,,11/05/2024 2:49,122.8525083,-33.981825,Yes,Yes,Yes,Yes,,,
4,052,10,abalone,twin,F in periods,11/05/2024 2:59,122.8334867,-33.98853833,Yes,Yes,Yes,Yes,,,
5,055,15,abalone,mart,example behaviour emob,11/05/2024 5:00,122.7212533,-33.984545,Yes,Yes,Yes,Yes,Yes,Yes,
2,058,14,abalone,mart,,11/05/2024 5:10,122.717535,-33.99426167,Yes,Yes,Yes,Yes,,,
3,061,12,abalone,mart,Male is clearly distinct from others seen in video,11/05/2024 6:45,122.6592567,-33.992795,Yes,Yes,Yes,Yes,,,
4,064,20,abalone,mart,slipped down - 5.5m FOV distance - No WBG,11/05/2024 6:58,122.656828,-34.00304979,Yes,Yes,Yes,Yes,No,No,
5,067,15,abalone,mart,,11/05/2024 22:49,122.5752417,-34.000975,,,,,,,
2,070,26,abalone,mart,,11/05/2024 23:02,122.5839717,-34.00672167,,,,,,,
3,073,10,abalone,mondrain,emob made,11/06/2024 1:49,122.3476717,-34.10001833,,,,,,,
4,076,26,abalone,mondrain,,11/06/2024 1:58,122.3446183,-34.11004,,,,,,,
5,079,19,abalone,mondrain,,11/06/2024 3:47,122.264865,-34.11811667,,,,,,,
2,082,21,abalone,mondrain,,11/06/2024 3:55,122.2587967,-34.12682167,,,,,,,
3,085,12,abalone,mondrain,,11/06/2024 5:16,122.2566683,-34.13892667,,,,,,,
4,088,28,abalone,mondrain,,11/06/2024 5:25,122.2509833,-34.14924,,,,,,,
5,091,18,abalone,legrande,,11/06/2024 22:42,122.28488,-33.99424167,,,,,,,
2,094,25,abalone,legrande,,11/06/2024 23:02,122.2468667,-34.00942333,,,,,,,
3,097,18,abalone,legrande,,11/07/2024 0:22,122.2239217,-33.99502833,,,,,,,
4,100,26,abalone,legrande,,11/07/2024 0:31,122.2144167,-34.00590667,,,,,,,
5,103,17,abalone,legrande,,11/07/2024 2:05,122.1537233,-34.03534167,,,,,,,
2,106,8,abalone,legrande,,11/07/2024 2:25,122.1410283,-34.01571833,,,,,,,
2,002,12,octopus,middle,face down,11/03/2024 6:12,123.182205,-34.08633833,No,No,No,No,No,No,
4,006,29,octopus,middle,right loaded as left,11/03/2024 6:57,123.1597033,-34.103195,Yes,Yes,Yes,Yes,,,
7,009,30,octopus,middle,,11/03/2024 7:25,123.1571783,-34.120565,Yes,Yes,Yes,Yes,,,
5,011,15,octopus,middle,swell very hectic - moving BRUV,11/03/2024 23:06,123.190925,-34.118865,Yes,Yes,Yes,Yes,,,
3,014,15,octopus,middle,"watch at end - obscured by kelp, very insane swell",11/03/2024 23:20,123.2046817,-34.1178,,,Yes,Yes,,,
2,017,14,octopus,middle,right loaded as left - distinctive groper,11/04/2024 0:55,123.217355,-34.10606,Yes,Yes,Yes,Yes,,,
2,020,14,octopus,arid,watch last,11/04/2024 3:56,123.17489,-34.01474333,,,,,,,
7,023,12,octopus,arid,tilted down -> partially obscured -- watch last - emob made,11/04/2024 4:08,123.1630667,-34.01754333,,,Yes,Yes,,,
6,026,27,octopus,arid,,11/04/2024 5:38,123.1501617,-34.01040333,Yes,Yes,Yes,Yes,,,
7,029,21,octopus,arid,no WBG,11/04/2024 5:57,123.132025,-33.99634167,Yes,Yes,Yes,Yes,No,No,
7,032,13,octopus,arid,,11/04/2024 7:36,123.11652,-33.95762833,Yes,Yes,Yes,Yes,,,
6,035,18,octopus,arid,mostly facing up - watch last,11/04/2024 7:48,123.137155,-33.95109833,,,,,,,
6,038,22,octopus,twin,emob made- FOV obstructed by boulder - do last,11/04/2024 23:22,122.9215833,-33.97355333,,,,,,,
7,041,26,octopus,twin,looking straight up,11/04/2024 23:32,122.9405717,-33.961035,,,,,,,
7,044,15,octopus,twin,SHARK,11/05/2024 1:01,122.9016963,-33.96871738,Yes,Yes,Yes,Yes,Yes,Yes,
6,047,6,octopus,twin,,11/05/2024 1:16,122.8988533,-33.965035,Yes,Yes,Yes,Yes,,,
6,050,10,octopus,twin,SHARK! Bronzie or Dusky,11/05/2024 2:52,122.8436467,-33.98211333,Yes,Yes,Yes,Yes,,,
7,053,15,octopus,twin,very small FOV,11/05/2024 3:05,122.8248783,-33.99212,Yes,Yes,Yes,Yes,,,
7,056,12,octopus,mart,completely obscured by kelp,11/05/2024 5:04,122.717875,-33.98761833,No,No,No,No,No,No,
6,059,12,octopus,mart,no wbg,11/05/2024 5:32,122.6625833,-33.98528833,Yes,Yes,Yes,Yes,No,No,
6,062,18,octopus,mart,y -- no left video - watch at end,11/05/2024 6:48,122.65726,-33.995635,,,,,,,
7,065,15,octopus,mart,test out maxn stage class thing with this emob (new indviiduals),11/05/2024 7:06,122.6454517,-33.99810333,Yes,Yes,Yes,Yes,,,
7,068,25,octopus,mart,,11/05/2024 22:55,122.5711367,-34.00881167,,,,,,,
6,071,19,octopus,mart,,11/05/2024 23:06,122.5910867,-34.006895,,,,,,,
6,074,14,octopus,mondrain,,11/06/2024 1:53,122.3480133,-34.10342833,,,,,,,
7,077,25,octopus,mondrain,,11/06/2024 2:01,122.3447033,-34.11375667,,,,,,,
7,080,21,octopus,mondrain,,11/06/2024 3:50,122.2595917,-34.12010333,,,,,,,
6,083,18,octopus,mondrain,load right as left,11/06/2024 3:58,122.2551833,-34.12993,,,,,,,
6,086,20,octopus,mondrain,upside down & obscured,11/06/2024 5:19,122.25686,-34.142535,No,No,No,No,No,No,
7,089,17,octopus,mondrain,,11/06/2024 5:28,122.25021,-34.15337,,,,,,,
7,092,32,octopus,legrande,rubble & sand,11/06/2024 22:47,122.2793383,-34.00092333,,,,,,,
6,095,25,octopus,legrande,,11/06/2024 23:05,122.2413051,-34.01253368,,,,,,,
6,098,24,octopus,legrande,,11/07/2024 0:25,122.222555,-33.998735,,,,,,,
7,101,29,octopus,legrande,,11/07/2024 0:33,122.2121267,-34.00949667,,,,,,,
7,104,17,octopus,legrande,,11/07/2024 2:08,122.1551733,-34.03049833,,,,,,,
6,107,9,octopus,legrande,seagrass Showed 106 incorrectly. Is 107,11/07/2024 2:30,122.1355317,-34.01085333,,,,,,,
3,003,29,pilchard,middle,right loaded as left - rewatch at end to check MaxNs,11/03/2024 6:22,123.1778433,-34.07862,Yes,Yes,Yes,Yes,,,
2,005,28,pilchard,middle,,11/03/2024 6:51,123.1644917,-34.099035,Yes,Yes,Yes,Yes,,,
6,008,29,pilchard,middle,no BG,11/03/2024 7:15,123.15696,-34.113365,Yes,Yes,Yes,Yes,No,No,
4,012,20,pilchard,middle,,11/03/2024 23:11,123.1973217,-34.116775,Yes,Yes,Yes,Yes,,,
6,015,18,pilchard,middle,facing down,11/03/2024 23:24,123.20819,-34.12232333,No,No,No,No,No,No,
4,018,14,pilchard,middle,,11/04/2024 1:01,123.2161283,-34.093255,Yes,Yes,Yes,Yes,,,
6,021,11,pilchard,arid,loaded right as left- facing mostly upwards - do last,11/04/2024 4:01,123.1721133,-34.01794333,,,Yes,Yes,,,
3,024,10,pilchard,arid,right loaded as left,11/04/2024 4:14,123.1578033,-34.01415833,Yes,Yes,Yes,Yes,,,
2,027,16,pilchard,arid,no BG,11/04/2024 5:41,123.1557283,-34.00650333,Yes,Yes,Yes,Yes,No,No,
5,030,21,pilchard,arid,,11/04/2024 6:05,123.1325617,-33.98273833,Yes,Yes,Yes,Yes,,,
4,033,21,pilchard,arid,,11/04/2024 7:39,123.1220967,-33.95464333,Yes,Yes,Yes,Yes,,,
3,036,8,pilchard,arid,No WBG,11/04/2024 7:53,123.1465899,-33.95002798,Yes,Yes,Yes,Yes,No,No,
2,039,16,pilchard,twin,,11/04/2024 23:25,122.9291367,-33.97177,Yes,Yes,Yes,Yes,,,
5,042,11,pilchard,twin,,11/04/2024 23:44,122.9097067,-33.96357667,Yes,Yes,Yes,Yes,,,
4,045,18,pilchard,twin,F looks smaller than other 2 measurements - maybe 0700-0899,11/05/2024 1:05,122.8968133,-33.97519833,Yes,Yes,Yes,Yes,,,
3,048,14,pilchard,twin,QAQC - mod/hard,11/05/2024 1:17,122.8999583,-33.96134833,Yes,Yes,Yes,Yes,,,
2,051,14,pilchard,twin,,11/05/2024 2:56,122.8378233,-33.985955,Yes,Yes,Yes,Yes,,,
5,054,8,pilchard,twin,coral bombie - facing upwards - do last /maybe not at all,11/05/2024 3:13,122.81113,-34.00384167,,,,,,,
4,057,15,pilchard,mart,almost completed obscured by kelp - do last,11/05/2024 5:06,122.7188333,-33.990495,,,,,,,
3,060,17,pilchard,mart,,11/05/2024 5:35,122.665065,-33.98879333,Yes,Yes,Yes,Yes,,,
2,063,25,pilchard,mart,,11/05/2024 6:51,122.6564867,-33.99967,Yes,Yes,Yes,Yes,,,
5,066,12,pilchard,mart,,11/05/2024 7:09,122.63727,-33.999925,Yes,Yes,Yes,Yes,Yes,Yes,
4,069,11,pilchard,mart,,11/05/2024 22:59,122.577375,-34.006235,,,,,,,
3,072,13,pilchard,mart,,11/05/2024 23:11,122.5895733,-34.00261667,,,,,,,
2,075,26,pilchard,mondrain,,11/06/2024 1:56,122.3462333,-34.106735,,,,,,,
5,078,22,pilchard,mondrain,,11/06/2024 2:03,122.346,-34.11664667,,,,,,,
4,081,10,pilchard,mondrain,,11/06/2024 3:53,122.2623217,-34.12448333,,,,,,,
3,084,19,pilchard,mondrain,"flips on side, mostly obscured - still try",11/06/2024 4:02,122.2584117,-34.13501667,,,,,,,
2,087,8,pilchard,mondrain,,11/06/2024 5:21,122.2555683,-34.146425,,,,,,,
5,090,20,pilchard,mondrain,,11/06/2024 5:31,122.25726,-34.151855,,,,,,,
4,093,21,pilchard,legrande,,11/06/2024 22:49,122.28127,-34.00519833,,,,,,,
3,096,25,pilchard,legrande,,11/06/2024 23:09,122.2359867,-34.01403333,,,,,,,
2,099,20,pilchard,legrande,,11/07/2024 0:28,122.2170983,-34.00178667,,,,,,,
5,102,24,pilchard,legrande,,11/07/2024 0:37,122.2075017,-34.00594833,,,,,,,
4,105,5,pilchard,legrande,,11/07/2024 2:12,122.1484633,-34.027025,,,,,,,
3,108,18,pilchard,legrande,emob made,11/07/2024 2:36,122.1266333,-34.01328333,,,,,,,
